Datei ID&Ordnung&$\mu / \unit{\meter}$&$\sigma$&$A$&$I / \unit{\ampere}$&$B / \unit{	esla}\\
\hline05 X&7&-0.0062454(10)&3.47(19)e-05&1745(76)&-5.23&-0.4375(17)\\
14 X&1&-0.00227386(84)&7.61(13)e-05&3503(27)&-3.9&-0.3419(13)\\
14 X&1&-0.0020336(14)&7.93(17)e-05&2533(26)&-3.9&-0.3419(13)\\
14 X&1&0.00203504(88)&8.22(10)e-05&2514(15)&-3.9&-0.3419(13)\\
14 X&1&0.00227682(53)&7.622(83)e-05&3441(15)&-3.9&-0.3419(13)\\
14 X&1&0.0024962(10)&6.87(11)e-05&2194(16)&-3.9&-0.3419(13)\\
14 X&2&0.0030946(16)&5.35(18)e-05&2436(37)&-3.9&-0.3419(13)\\
14 X&2&0.00325523(99)&5.36(16)e-05&3382(35)&-3.9&-0.3419(13)\\
14 X&2&0.0034101(23)&5.47(24)e-05&2125(38)&-3.9&-0.3419(13)\\
14 X&3&0.0038738(10)&4.35(11)e-05&2451(27)&-3.9&-0.3419(13)\\
14 X&3&0.00400298(62)&4.40(10)e-05&3259(25)&-3.9&-0.3419(13)\\
14 X&3&0.0041297(13)&4.31(14)e-05&2097(27)&-3.9&-0.3419(13)\\
14 X&4&0.00451636(95)&3.935(97)e-05&2263(25)&-3.9&-0.3419(13)\\
14 X&4&0.00463019(51)&4.118(93)e-05&3128(21)&-3.9&-0.3419(13)\\
14 X&4&0.0047431(10)&3.73(11)e-05&1997(25)&-3.9&-0.3419(13)\\
14 X&5&0.0050732(22)&1.63(25)e-05&-2.9(5.0)e+03&-3.9&-0.3419(13)\\
14 X&5&0.0051753(17)&2.36(26)e-05&-2.7(5.0)e+03&-3.9&-0.3419(13)\\
14 X&5&0.0051780(18)&0.00025(13)&2.3(7.0)e+03&-3.9&-0.3419(13)\\
14 X&6&0.0055693(45)&1.80(64)e-05&1.08(28)e+03&-3.9&-0.3419(13)\\
14 X&6&0.0056761(42)&8.9(1.2)e-05&2.71(32)e+03&-3.9&-0.3419(13)\\
14 Y&2&-0.0033930(12)&4.97(14)e-05&2095(30)&-3.9&-0.3419(13)\\
14 Y&2&-0.00323718(63)&5.34(10)e-05&3310(28)&-3.9&-0.3419(13)\\
14 Y&2&-0.0030739(11)&5.82(14)e-05&2464(29)&-3.9&-0.3419(13)\\
14 Y&1&-0.0024732(12)&6.96(14)e-05&2168(21)&-3.9&-0.3419(13)\\
14 Y&1&-0.00225680(64)&7.360(98)e-05&3316(20)&-3.9&-0.3419(13)\\
14 Y&1&-0.0020165(12)&8.73(15)e-05&2360(20)&-3.9&-0.3419(13)\\
14 Y&1&0.0020546(14)&8.74(17)e-05&2470(21)&-3.9&-0.3419(13)\\
14 Y&1&0.00229363(81)&7.69(12)e-05&3286(21)&-3.9&-0.3419(13)\\
14 Y&1&0.0025094(15)&6.48(16)e-05&2015(23)&-3.9&-0.3419(13)\\
14 Y&2&0.0031237(18)&7.61(21)e-05&2350(31)&-3.9&-0.3419(13)\\
14 Y&2&0.00327728(75)&4.83(11)e-05&2917(34)&-3.9&-0.3419(13)\\
14 Y&2&0.0034231(14)&5.44(17)e-05&1998(31)&-3.9&-0.3419(13)\\
15 X&7&-0.0062352(12)&3.18(18)e-05&1961(68)&-4.38&-0.3782(14)\\
15 X&7&-0.00614250(55)&3.210(95)e-05&3049(63)&-4.38&-0.3782(14)\\
15 X&7&-0.00604816(84)&3.07(13)e-05&2236(67)&-4.38&-0.3782(14)\\
15 X&6&-0.00579097(96)&3.22(13)e-05&1968(45)&-4.38&-0.3782(14)\\
15 X&6&-0.00568756(49)&3.600(84)e-05&3067(45)&-4.38&-0.3782(14)\\
15 X&6&-0.00558405(75)&3.19(10)e-05&2274(45)&-4.38&-0.3782(14)\\
15 X&5&-0.00530346(97)&3.41(14)e-05&2046(49)&-4.38&-0.3782(14)\\
15 X&5&-0.00519093(49)&3.776(78)e-05&3212(51)&-4.38&-0.3782(14)\\
15 X&5&-0.00507911(74)&3.28(11)e-05&2346(48)&-4.38&-0.3782(14)\\
15 X&4&-0.0047678(13)&3.78(17)e-05&2092(51)&-4.38&-0.3782(14)\\
15 X&4&-0.00464383(65)&4.057(99)e-05&3277(53)&-4.38&-0.3782(14)\\
15 X&4&-0.00451696(94)&3.78(13)e-05&2449(50)&-4.38&-0.3782(14)\\
15 X&3&-0.0041601(12)&4.45(17)e-05&2119(47)&-4.38&-0.3782(14)\\
15 X&3&-0.00401655(59)&4.668(85)e-05&3394(49)&-4.38&-0.3782(14)\\
15 X&3&-0.00386862(78)&4.20(12)e-05&2510(46)&-4.38&-0.3782(14)\\
15 X&2&-0.0034488(15)&5.09(19)e-05&2186(49)&-4.38&-0.3782(14)\\
15 X&2&-0.00327266(77)&5.58(11)e-05&3499(51)&-4.38&-0.3782(14)\\
15 X&2&-0.0030886(11)&5.34(16)e-05&2535(47)&-4.38&-0.3782(14)\\
15 X&1&-0.0025340(18)&7.26(24)e-05&2201(40)&-4.38&-0.3782(14)\\
15 X&1&-0.00229205(91)&7.67(12)e-05&3609(42)&-4.38&-0.3782(14)\\
15 X&1&-0.0020217(14)&8.34(21)e-05&2593(39)&-4.38&-0.3782(14)\\
15 X&1&0.0019881(11)&8.35(17)e-05&2600(31)&-4.38&-0.3782(14)\\
15 X&1&0.00225563(75)&7.88(11)e-05&3584(33)&-4.38&-0.3782(14)\\
15 X&1&0.0024979(15)&7.43(19)e-05&2255(33)&-4.38&-0.3782(14)\\
15 X&2&0.00305649(94)&5.61(12)e-05&2574(29)&-4.38&-0.3782(14)\\
15 X&2&0.00323804(61)&5.644(91)e-05&3528(31)&-4.38&-0.3782(14)\\
15 X&2&0.0034120(12)&5.30(14)e-05&2230(30)&-4.38&-0.3782(14)\\
15 X&3&0.00383633(87)&4.39(12)e-05&2496(36)&-4.38&-0.3782(14)\\
15 X&3&0.00398179(59)&4.662(89)e-05&3410(38)&-4.38&-0.3782(14)\\
15 X&3&0.0041258(12)&4.56(15)e-05&2186(37)&-4.38&-0.3782(14)\\
15 X&4&0.00448210(86)&3.61(12)e-05&2434(44)&-4.38&-0.3782(14)\\
15 X&4&0.00460750(65)&4.29(10)e-05&3213(46)&-4.38&-0.3782(14)\\
15 X&4&0.0047341(13)&4.05(16)e-05&2137(45)&-4.38&-0.3782(14)\\
15 X&5&0.00504554(82)&3.52(11)e-05&2305(44)&-4.38&-0.3782(14)\\
15 X&5&0.00515782(55)&3.945(96)e-05&3108(43)&-4.38&-0.3782(14)\\
15 X&5&0.0052720(12)&3.89(15)e-05&2039(45)&-4.38&-0.3782(14)\\
15 X&6&0.00555353(87)&3.46(11)e-05&2267(43)&-4.38&-0.3782(14)\\
15 X&6&0.00565495(51)&3.630(95)e-05&3044(37)&-4.38&-0.3782(14)\\
15 X&6&0.0057584(11)&3.65(15)e-05&2006(43)&-4.38&-0.3782(14)\\
15 Y&2&-0.0034000(16)&5.38(22)e-05&2131(54)&-4.38&-0.3782(14)\\
15 Y&2&-0.00322479(81)&5.68(12)e-05&3444(54)&-4.38&-0.3782(14)\\
15 Y&2&-0.0030414(12)&5.87(19)e-05&2534(52)&-4.38&-0.3782(14)\\
